geoid,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group
36061023000,4383,480,1,3903,0.10951403148528405,Top OZs (by units)
36061027900,4357,76,1,4281,0.017443194858847832,Top OZs (by units)
36061029100,4253,195,1,4058,0.04584998824359276,Top OZs (by units)
36081002500,4174,0,1,4174,0,Top OZs (by units)
36061026100,4035,144,1,3891,0.035687732342007436,Top OZs (by units)
36061021600,3951,121,1,3830,0.030625158187800556,Top OZs (by units)
36061023200,3594,224,1,3370,0.06232609905397885,Top OZs (by units)
36061021800,3524,568,1,2956,0.1611804767309875,Top OZs (by units)
36061000202,3514,0,1,3514,0,Top OZs (by units)
36061024100,3478,197,1,3281,0.05664174813110983,Top OZs (by units)
36085013301,547,0,1,547,0,Bottom OZs (by units)
36005012102,611,0,1,611,0,Bottom OZs (by units)
36081014400,617,0,1,617,0,Bottom OZs (by units)
36081003900,620,0,1,620,0,Bottom OZs (by units)
36047029400,645,0,1,645,0,Bottom OZs (by units)
36081011600,658,0,1,658,0,Bottom OZs (by units)
36081014202,664,0,1,664,0,Bottom OZs (by units)
36047040500,680,76,1,604,0.11176470588235295,Bottom OZs (by units)
36081005500,687,0,1,687,0,Bottom OZs (by units)
36047045300,697,0,1,697,0,Bottom OZs (by units)
36061021800,3524,568,1,2956,0.1611804767309875,Top 10 by Affordable Housing
36005019900,3184,517,1,2667,0.16237437185929648,Top 10 by Affordable Housing
36005018900,3026,510,1,2516,0.16853932584269662,Top 10 by Affordable Housing
36061023000,4383,480,1,3903,0.10951403148528405,Top 10 by Affordable Housing
36047032600,3057,461,1,2596,0.15080143931959436,Top 10 by Affordable Housing
36061023200,3594,224,1,3370,0.06232609905397885,Top 10 by Affordable Housing
36005039100,3113,223,1,2890,0.07163507870221651,Top 10 by Affordable Housing
36061024100,3478,197,1,3281,0.05664174813110983,Top 10 by Affordable Housing
36061029100,4253,195,1,4058,0.04584998824359276,Top 10 by Affordable Housing
36005017500,3070,169,1,2901,0.05504885993485342,Top 10 by Affordable Housing
